,location,startDate,entityId,displayId,cloudCover,spatialBounds,spatialCoverage
6860,3552809,2010-08-24 00:00:00,LT52190762010236CUB00,LT05_L2SP_219076_20100824_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-47.59278, -24.03146], [-47.59278, -22.18532], [-45.4288, -22.18532], [-45.4288, -24.03146], [-47.59278, -24.03146]]]}","{'type': 'Polygon', 'coordinates': [[[-47.59278, -23.77055], [-45.79837, -24.03146], [-45.4288, -22.44327], [-47.20287, -22.18532], [-47.59278, -23.77055]]]}"
6944,3556503,2010-08-24 00:00:00,LT52190762010236CUB00,LT05_L2SP_219076_20100824_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-47.59278, -24.03146], [-47.59278, -22.18532], [-45.4288, -22.18532], [-45.4288, -24.03146], [-47.59278, -24.03146]]]}","{'type': 'Polygon', 'coordinates': [[[-47.59278, -23.77055], [-45.79837, -24.03146], [-45.4288, -22.44327], [-47.20287, -22.18532], [-47.59278, -23.77055]]]}"
128,1200203,2010-09-30 00:00:00,LT50050652010273CUB00,LT05_L2SP_005065_20100930_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-73.33254, -8.14197], [-73.33254, -6.30973], [-71.33271, -6.30973], [-71.33271, -8.14197], [-73.33254, -8.14197]]]}","{'type': 'Polygon', 'coordinates': [[[-73.33254, -7.90049], [-71.67194, -8.14197], [-71.33271, -6.5504], [-72.98767, -6.30973], [-73.33254, -7.90049]]]}"
193,1200401,2010-09-09 00:00:00,LT50020672010252COA01,LT05_L2SP_002067_20100909_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-69.31278, -11.0243], [-69.31278, -9.1907], [-67.29698, -9.1907], [-67.29698, -11.0243], [-69.31278, -11.0243]]]}","{'type': 'Polygon', 'coordinates': [[[-69.31278, -10.78085], [-67.6386, -11.0243], [-67.29698, -9.433], [-68.96318, -9.1907], [-69.31278, -10.78085]]]}"
386,1300508,2010-08-14 00:00:00,LT52290622010226CUB01,LT05_L2SP_229062_20100814_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-58.46063, -3.81751], [-58.46063, -1.98643], [-56.47463, -1.98643], [-56.47463, -3.81751], [-58.46063, -3.81751]]]}","{'type': 'Polygon', 'coordinates': [[[-58.46063, -3.57783], [-56.81249, -3.81751], [-56.47463, -2.22579], [-58.12053, -1.98643], [-58.46063, -3.57783]]]}"
557,1300706,2010-08-24 00:00:00,LT50020662010236CUB00,LT05_L2SP_002066_20100824_20200824_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-68.9851, -9.5974], [-68.9851, -7.76453], [-66.9779, -7.76453], [-66.9779, -9.5974], [-68.9851, -9.5974]]]}","{'type': 'Polygon', 'coordinates': [[[-68.9851, -9.355], [-67.31819, -9.5974], [-66.9779, -8.00594], [-68.638, -7.76453], [-68.9851, -9.355]]]}"
832,1301407,2010-09-16 00:00:00,LT50030652010259CUB00,LT05_L2SP_003065_20100916_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-70.23595, -8.1481], [-70.23595, -6.31586], [-68.2361, -6.31586], [-68.2361, -8.1481], [-70.23595, -8.1481]]]}","{'type': 'Polygon', 'coordinates': [[[-70.23595, -7.90662], [-68.57533, -8.1481], [-68.2361, -6.55653], [-69.89107, -6.31586], [-70.23595, -7.90662]]]}"
878,1301506,2010-09-16 00:00:00,LT50030652010259CUB00,LT05_L2SP_003065_20100916_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-70.23595, -8.1481], [-70.23595, -6.31586], [-68.2361, -6.31586], [-68.2361, -8.1481], [-70.23595, -8.1481]]]}","{'type': 'Polygon', 'coordinates': [[[-70.23595, -7.90662], [-68.57533, -8.1481], [-68.2361, -6.55653], [-69.89107, -6.31586], [-70.23595, -7.90662]]]}"
899,1301654,2010-09-30 00:00:00,LT50050652010273CUB00,LT05_L2SP_005065_20100930_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-73.33254, -8.14197], [-73.33254, -6.30973], [-71.33271, -6.30973], [-71.33271, -8.14197], [-73.33254, -8.14197]]]}","{'type': 'Polygon', 'coordinates': [[[-73.33254, -7.90049], [-71.67194, -8.14197], [-71.33271, -6.5504], [-72.98767, -6.30973], [-73.33254, -7.90049]]]}"
924,1301803,2010-09-30 00:00:00,LT50050652010273CUB00,LT05_L2SP_005065_20100930_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-73.33254, -8.14197], [-73.33254, -6.30973], [-71.33271, -6.30973], [-71.33271, -8.14197], [-73.33254, -8.14197]]]}","{'type': 'Polygon', 'coordinates': [[[-73.33254, -7.90049], [-71.67194, -8.14197], [-71.33271, -6.5504], [-72.98767, -6.30973], [-73.33254, -7.90049]]]}"
1080,1302405,2010-09-27 00:00:00,LT52330652010270CUB00,LT05_L2SP_233065_20100927_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-65.60639, -8.14641], [-65.60639, -6.31417], [-63.60654, -6.31417], [-63.60654, -8.14641], [-65.60639, -8.14641]]]}","{'type': 'Polygon', 'coordinates': [[[-65.60639, -7.90493], [-63.94577, -8.14641], [-63.60654, -6.55484], [-65.26151, -6.31417], [-65.60639, -7.90493]]]}"
1261,1303403,2010-08-14 00:00:00,LT52290622010226CUB01,LT05_L2SP_229062_20100814_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-58.46063, -3.81751], [-58.46063, -1.98643], [-56.47463, -1.98643], [-56.47463, -3.81751], [-58.46063, -3.81751]]]}","{'type': 'Polygon', 'coordinates': [[[-58.46063, -3.57783], [-56.81249, -3.81751], [-56.47463, -2.22579], [-58.12053, -1.98643], [-58.46063, -3.57783]]]}"
2089,1702109,2010-09-14 00:00:00,LT52220652010257CUB00,LT05_L2SP_222065_20100914_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-48.6022, -8.14216], [-48.6022, -6.30992], [-46.60237, -6.30992], [-46.60237, -8.14216], [-48.6022, -8.14216]]]}","{'type': 'Polygon', 'coordinates': [[[-48.6022, -7.90068], [-46.9416, -8.14216], [-46.60237, -6.55059], [-48.25733, -6.30992], [-48.6022, -7.90068]]]}"
3447,3101508,2010-08-26 00:00:00,LT52170752010238CUB00,LT05_L2SP_217075_20100826_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-44.14845, -22.58338], [-44.14845, -20.73922], [-42.00792, -20.73922], [-42.00792, -22.58338], [-44.14845, -22.58338]]]}","{'type': 'Polygon', 'coordinates': [[[-44.14845, -22.3252], [-42.37276, -22.58338], [-42.00792, -20.99468], [-43.76486, -20.73922], [-44.14845, -22.3252]]]}"
3522,3106705,2010-09-18 00:00:00,LT52180742010261CUB00,LT05_L2SP_218074_20100918_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-45.36855, -21.14803], [-45.36855, -19.30568], [-43.24936, -19.30568], [-43.24936, -21.14803], [-45.36855, -21.14803]]]}","{'type': 'Polygon', 'coordinates': [[[-45.36855, -20.89233], [-43.60997, -21.14803], [-43.24936, -19.55887], [-44.9907, -19.30568], [-45.36855, -20.89233]]]}"
3542,3107802,2010-08-26 00:00:00,LT52170742010238CUB00,LT05_L2SP_217074_20100826_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-43.80201, -21.14653], [-43.80201, -19.30418], [-41.68284, -19.30418], [-41.68284, -21.14653], [-43.80201, -21.14653]]]}","{'type': 'Polygon', 'coordinates': [[[-43.80201, -20.89083], [-42.04345, -21.14653], [-41.68284, -19.55736], [-43.42417, -19.30418], [-43.80201, -20.89083]]]}"
3603,3111200,2010-09-02 00:00:00,LT52180752010245CUB00,LT05_L2SP_218075_20100902_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-45.70264, -22.58821], [-45.70264, -20.74405], [-43.56204, -20.74405], [-43.56204, -22.58821], [-45.70264, -22.58821]]]}","{'type': 'Polygon', 'coordinates': [[[-45.70264, -22.33002], [-43.92689, -22.58821], [-43.56204, -20.99951], [-45.31903, -20.74405], [-45.70264, -22.33002]]]}"
3652,3113404,2010-08-26 00:00:00,LT52170742010238CUB00,LT05_L2SP_217074_20100826_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-43.80201, -21.14653], [-43.80201, -19.30418], [-41.68284, -19.30418], [-41.68284, -21.14653], [-43.80201, -21.14653]]]}","{'type': 'Polygon', 'coordinates': [[[-43.80201, -20.89083], [-42.04345, -21.14653], [-41.68284, -19.55736], [-43.42417, -19.30418], [-43.80201, -20.89083]]]}"
3687,3119401,2010-08-26 00:00:00,LT52170742010238CUB00,LT05_L2SP_217074_20100826_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-43.80201, -21.14653], [-43.80201, -19.30418], [-41.68284, -19.30418], [-41.68284, -21.14653], [-43.80201, -21.14653]]]}","{'type': 'Polygon', 'coordinates': [[[-43.80201, -20.89083], [-42.04345, -21.14653], [-41.68284, -19.55736], [-43.42417, -19.30418], [-43.80201, -20.89083]]]}"
3707,3124104,2010-09-18 00:00:00,LT52180742010261CUB00,LT05_L2SP_218074_20100918_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-45.36855, -21.14803], [-45.36855, -19.30568], [-43.24936, -19.30568], [-43.24936, -21.14803], [-45.36855, -21.14803]]]}","{'type': 'Polygon', 'coordinates': [[[-45.36855, -20.89233], [-43.60997, -21.14803], [-43.24936, -19.55887], [-44.9907, -19.30568], [-45.36855, -20.89233]]]}"
3745,3129806,2010-09-18 00:00:00,LT52180742010261CUB00,LT05_L2SP_218074_20100918_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-45.36855, -21.14803], [-45.36855, -19.30568], [-43.24936, -19.30568], [-43.24936, -21.14803], [-45.36855, -21.14803]]]}","{'type': 'Polygon', 'coordinates': [[[-45.36855, -20.89233], [-43.60997, -21.14803], [-43.24936, -19.55887], [-44.9907, -19.30568], [-45.36855, -20.89233]]]}"
3814,3131703,2010-08-26 00:00:00,LT52170742010238CUB00,LT05_L2SP_217074_20100826_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-43.80201, -21.14653], [-43.80201, -19.30418], [-41.68284, -19.30418], [-41.68284, -21.14653], [-43.80201, -21.14653]]]}","{'type': 'Polygon', 'coordinates': [[[-43.80201, -20.89083], [-42.04345, -21.14653], [-41.68284, -19.55736], [-43.42417, -19.30418], [-43.80201, -20.89083]]]}"
3912,3135209,2010-09-25 00:00:00,LT52190712010268CUB00,LT05_L2SP_219071_20100925_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-45.90124, -16.80919], [-45.90124, -14.97141], [-43.83595, -14.97141], [-43.83595, -16.80919], [-45.90124, -16.80919]]]}","{'type': 'Polygon', 'coordinates': [[[-45.90124, -16.55983], [-44.18624, -16.80919], [-43.83595, -15.21888], [-45.53793, -14.97141], [-45.90124, -16.55983]]]}"
3944,3136702,2010-08-26 00:00:00,LT52170752010238CUB00,LT05_L2SP_217075_20100826_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-44.14845, -22.58338], [-44.14845, -20.73922], [-42.00792, -20.73922], [-42.00792, -22.58338], [-44.14845, -22.58338]]]}","{'type': 'Polygon', 'coordinates': [[[-44.14845, -22.3252], [-42.37276, -22.58338], [-42.00792, -20.99468], [-43.76486, -20.73922], [-44.14845, -22.3252]]]}"
3969,3139409,2010-08-26 00:00:00,LT52170742010238CUB00,LT05_L2SP_217074_20100826_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-43.80201, -21.14653], [-43.80201, -19.30418], [-41.68284, -19.30418], [-41.68284, -21.14653], [-43.80201, -21.14653]]]}","{'type': 'Polygon', 'coordinates': [[[-43.80201, -20.89083], [-42.04345, -21.14653], [-41.68284, -19.55736], [-43.42417, -19.30418], [-43.80201, -20.89083]]]}"
3992,3139508,2010-08-26 00:00:00,LT52170742010238CUB00,LT05_L2SP_217074_20100826_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-43.80201, -21.14653], [-43.80201, -19.30418], [-41.68284, -19.30418], [-41.68284, -21.14653], [-43.80201, -21.14653]]]}","{'type': 'Polygon', 'coordinates': [[[-43.80201, -20.89083], [-42.04345, -21.14653], [-41.68284, -19.55736], [-43.42417, -19.30418], [-43.80201, -20.89083]]]}"
4065,3143302,2010-09-18 00:00:00,LT52180722010261CUB00,LT05_L2SP_218072_20100918_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-44.68905, -18.26487], [-44.68905, -16.4257], [-42.60738, -16.4257], [-42.60738, -18.26487], [-44.68905, -18.26487]]]}","{'type': 'Polygon', 'coordinates': [[[-44.68905, -18.01357], [-42.96074, -18.26487], [-42.60738, -16.6749], [-44.3213, -16.4257], [-44.68905, -18.01357]]]}"
4091,3147105,2010-09-18 00:00:00,LT52180742010261CUB00,LT05_L2SP_218074_20100918_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-45.36855, -21.14803], [-45.36855, -19.30568], [-43.24936, -19.30568], [-43.24936, -21.14803], [-45.36855, -21.14803]]]}","{'type': 'Polygon', 'coordinates': [[[-45.36855, -20.89233], [-43.60997, -21.14803], [-43.24936, -19.55887], [-44.9907, -19.30568], [-45.36855, -20.89233]]]}"
4158,3147907,2010-08-24 00:00:00,LT52190742010236CUB00,LT05_L2SP_219074_20100824_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-46.89205, -21.14987], [-46.89205, -19.30752], [-44.77284, -19.30752], [-44.77284, -21.14987], [-46.89205, -21.14987]]]}","{'type': 'Polygon', 'coordinates': [[[-46.89205, -20.89417], [-45.13345, -21.14987], [-44.77284, -19.56071], [-46.5142, -19.30752], [-46.89205, -20.89417]]]}"
