,location_ID,lowerLeft_lon,lowerLeft_lat,upperRight_lon,upperRight_lat
55,2107506,-44.171135000062236,-2.552038575132144,-44.0986923548404,-2.4727220000129364
56,2109452,-44.166546999911816,-2.4738689998256973,-44.09534792036703,-2.41507490262868
57,2111201,-44.21368573659515,-2.5839080081651105,-44.0575481150532,-2.4743719798448183
58,2211001,-42.83956834344349,-5.199401727999316,-42.676443110245714,-4.988359150286215
59,2301000,-38.3898029588509,-3.9061945,-38.35039190560349,-3.9007943262310505
60,2302602,-40.850239058261195,-2.9157646250594667,-40.839221500053156,-2.9009665745879
61,2303709,-38.67370932223338,-3.762345000239975,-38.59337100037703,-3.697319000204004
62,2304400,-38.62278645428796,-3.8718048344006775,-38.43617616014183,-3.6926060401569316
63,2800308,-37.112823503545826,-11.015248128222424,-37.03390905217816,-10.862499166478699
64,2800605,-37.0412415492828,-10.91155205794081,-37.03229775128739,-10.9067992470843
65,2804805,-37.16581949672707,-10.928686456554544,-37.06520400909068,-10.821874603264064
66,2929206,-38.69169822965972,-12.735453812255344,-38.58876890245449,-12.612814438036992
67,3106200,-44.0536971848515,-20.01983542359551,-43.86961835991002,-19.776543712793398
68,3203205,-40.0782449933983,-19.408401334297764,-40.0310941464445,-19.333025357185193
69,3204906,-39.90674464213964,-18.75897940584167,-39.81302343362222,-18.668768251204654
70,3304557,-43.73487930476199,-23.031002268458167,-43.10562418807842,-22.75347742484223
71,2304707,-40.835483316052944,-3.11895215616977,-40.82117693268708,-3.102803909303475
72,2304954,-38.761496787813655,-4.162089803957429,-38.62319508013775,-4.032179349078945
73,2306256,-38.55568479292805,-3.9971112955857393,-38.5264051494908,-3.97045901630545
74,2307304,-39.33353199989051,-7.210766,-39.3169933556143,-7.17588024547274
75,2307650,-38.6244186465865,-3.87696445102036,-38.58156065832384,-3.8262129190171663
76,2307700,-38.700138959557876,-3.924721980422305,-38.675358294824605,-3.89186946
77,2309706,-38.620192476806324,-3.98612002229387,-38.61565431798209,-3.892103904068051
78,2310704,-39.267008731469,-3.8008264736628803,-39.24406673125338,-3.7837885426252456
79,2311306,-39.01717643114159,-4.9987129998434625,-39.0117446758304,-4.9637
80,2312700,-39.3810807968423,-5.58934375213112,-39.3753253308417,-5.5819958553742595
81,2408003,-37.39561832299211,-5.223029399837856,-37.31939189480795,-5.145059440746991
82,2408102,-35.27985732601593,-5.881727787362081,-35.1814340455432,-5.723534953283149
83,2501807,-34.94399721163285,-7.144516979656203,-34.90065658707175,-7.110411029863087
84,2503209,-34.858214192763,-7.095251662035537,-34.8394300208048,-6.96698306327964
85,2504009,-35.95315291067055,-7.279861689520089,-35.85067091973252,-7.1963189151001075
86,2507507,-34.919342831497545,-7.201665404349399,-34.81408799961741,-7.080802020267697
87,2513703,-34.9658392782709,-7.1380845,-34.94361912046395,-7.126353425690411
88,2600054,-34.927313039707315,-7.922265030069639,-34.896116160157305,-7.897874039773001
89,2601052,-35.09821345593821,-7.786851116476271,-35.08321898779792,-7.782012415921031
90,2602902,-35.23302473743706,-8.363552256756009,-34.95233817973832,-8.210321214337796
91,2603454,-35.010728643697064,-8.034931039894957,-34.963173143198844,-7.986174442665913
92,2604106,-36.060730463823916,-8.313182028492918,-35.917558903077634,-8.012225480704615
93,2605202,-35.25247404041693,-8.383728960171538,-35.212286160100746,-8.352593999842554
94,2606804,-34.938974159954114,-7.875613980434309,-34.899381000396545,-7.803768960143998
95,2607208,-35.0634719379371,-8.512533999887808,-35.00812700039444,-8.3969865
96,2607604,-34.858588872803466,-7.771303843178487,-34.823950567034,-7.728945423064204
97,2607752,-34.91447448389226,-7.794238341878497,-34.8892710487235,-7.77403476474654
98,2607901,-35.03175858068647,-8.219540819166639,-34.91359388125102,-8.06520926918654
99,2609402,-35.19973583969403,-8.127911969685272,-35.07724908042405,-8.111745088690327
100,2609600,-34.916923006827574,-8.028159000223468,-34.831352000428126,-7.9547270003074
101,2610707,-34.91387104330721,-7.979390763069432,-34.82858123062465,-7.911052999768003
102,2611606,-34.980347141659536,-8.1454666367718,-34.869547959791134,-7.9520586219142615
103,2613701,-35.04950999964791,-8.017108999872505,-35.006309000227816,-7.990273237712756
104,2615409,-36.059303294622055,-8.00665027093915,-36.0568434929956,-7.998545252100314
105,2700300,-36.6572965062872,-9.7559070107047,-36.6440766792897,-9.720843974157447
106,2700508,-35.52422791118846,-9.435386310745855,-35.49643166500755,-9.39112895328094
107,2703601,-35.26137588869244,-9.089776473573295,-35.2586583540313,-9.087450556109616
108,2704302,-35.786719900901915,-9.675869837250104,-35.58962476464967,-9.500845552874182
109,2704500,-35.2230154091319,-9.0154564858241,-35.220250002909154,-9.005926466466462
110,2704708,-35.8930686988453,-9.76335696704416,-35.82997940571664,-9.726885787723518
111,2705507,-35.947555585677,-9.318856673188407,-35.931037226691785,-9.313676232060686
112,2705606,-35.6609637180966,-8.945430580819163,-35.65455670189664,-8.937234718323111
113,2706448,-35.5591051843043,-9.467747216073235,-35.554283750732736,-9.464152971261797
114,2707701,-35.85797717737381,-9.504761942930429,-35.81435776837958,-9.475954661837022
115,2708501,-35.57111666152872,-9.316285865839518,-35.56265164633845,-9.305714506256322
116,2708907,-35.83442634720677,-9.56942786775773,-35.8285402270771,-9.567477071160283
117,2806701,-37.21623724156893,-11.027844440856995,-37.09139037261167,-10.915186344166273
118,2905701,-38.33614021090955,-12.864135177206208,-38.044238040010214,-12.582127980395967
119,2906501,-38.5435962675254,-12.702947826499553,-38.47363607928247,-12.665777510636019
120,2913606,-39.07455417305977,-14.850459600859494,-39.02513029687145,-14.787260399057516
121,2914802,-39.2731089520081,-14.789039548603,-39.26244465661125,-14.782684193515536
122,2916104,-38.6840303112952,-12.934699423531868,-38.62205200586567,-12.8814890528205
123,2919207,-38.35233003360952,-12.89884110159727,-38.302780562603175,-12.850905724775885
124,2930709,-38.4115191932451,-12.78591010833469,-38.36762606690928,-12.777463674036824
125,2933208,-38.793242351827644,-13.133090348829342,-38.603621692301544,-12.9357333313259
126,3101102,-41.07633007692624,-19.500557800725176,-41.0700489762512,-19.4919501492683
127,3101508,-42.6959466024573,-21.8768037118642,-42.646733701238304,-21.84818859442663
128,3101706,-40.70626938338819,-16.1806161743577,-40.693606203462764,-16.1688491545832
129,3105202,-40.56256378903316,-15.8849769791563,-40.55858686291316,-15.882536396001058
130,3106309,-42.4872826001983,-19.311522517102617,-42.36645404898633,-19.224644999373
131,3106705,-44.289102733584116,-20.032422191725402,-44.10521007369863,-19.91309969161955
