location,RF_min_split,kappa,precision,sensitivity,IoU Class 1,IoU Class 0,mIoU,accuracy,f1score,tn,fp,fn,tp
3156700,10,0.52148731679926,0.4604415823367065,0.6660013306719893,0.3740657698056801,0.953485143015829,0.6637754564107545,0.9547431844586745,0.5444655969540386,34335,1173,502,1001
3157807,10,0.4394479274253125,0.4451479697178251,0.5543366472403154,0.3278256462240243,0.895630685931942,0.6117281660779832,0.9006859573448358,0.4937781510038934,56903,4031,2600,3234
3162955,10,0.3023929946402959,0.6153846153846154,0.2051282051282051,0.1818181818181818,0.9859320046893316,0.5838750932537567,0.9859758472925594,0.3076923076923077,2523,5,31,8
3168705,10,0.4474462516233736,0.5037412225164039,0.5143394452280207,0.3413682814572119,0.8840438389276493,0.6127060601924306,0.8906177125978131,0.5089851701075894,64369,4311,4132,4376
3300209,10,0.2286772226440722,0.2535292422932872,0.2383531960996749,0.140060480662104,0.9664784712743516,0.5532694759682278,0.9666604961125508,0.2457071059611894,155777,2591,2812,880
3300233,10,0.4222346996069623,0.4333333333333333,0.4193548387096774,0.2708333333333333,0.992040027291335,0.6314366803123341,0.992063492063492,0.4262295081967213,8724,34,36,26
3300258,10,0.5813532429354333,0.7467248908296943,0.7095435684647303,0.5719063545150501,0.7445109780439122,0.6582086662794812,0.8095238095238095,0.7276595744680852,373,58,70,171
3301009,10,0.2696283923241023,0.3591549295774648,0.2212581344902386,0.1586314152410575,0.9911399591662936,0.5748856872036756,0.9911547349145448,0.2738255033557047,181559,546,1077,306
3301306,1,0.6455714959776323,0.8849206349206349,0.5091324200913242,0.4775160599571734,0.9982643581681866,0.73789020906268,0.9982671069919392,0.6463768115942029,140338,29,215,223
3302403,10,0.5296462962280837,0.5351646533178884,0.7351670834280518,0.4486681465038846,0.830475215425305,0.6395716809645948,0.8510271405008247,0.6194215667496649,19468,2809,1165,3234
3303401,1,-0.0072674418604651,0.0,0.0,0.0,0.9563492063492064,0.4781746031746032,0.9563492063492064,0.0,241,1,10,0
3303955,10,0.3193523850918179,0.2388663967611336,0.5728155339805825,0.2027491408934708,0.957841177539524,0.5802951592164973,0.9582883854728514,0.3371428571428571,5271,188,44,59
3304300,10,0.1252956553167525,0.2444444444444444,0.088,0.0691823899371069,0.9894676914318248,0.5293250406844658,0.9894759297447202,0.1294117647058823,13904,34,114,11
3304524,10,0.3439381506197346,0.3039443155452436,0.5147347740667977,0.236248872858431,0.9209297983569829,0.578589335607707,0.9228175687989794,0.3822027716994894,9865,600,247,262
3305208,10,0.3949170368230983,0.4221635883905013,0.3864734299516908,0.2527646129541864,0.9828858817570012,0.6178252473555939,0.9829843873659976,0.403530895334174,27165,219,254,160
3305604,1,0.6226484353491787,0.8389261744966443,0.6696428571428571,0.5933544303797469,0.7786391042204995,0.6859967673001233,0.8326822916666666,0.7447864945382324,904,72,185,375
3305802,10,0.3166081367434316,0.3124875918205281,0.3335452426361517,0.1923735028110486,0.987930086560714,0.5901517946858813,0.9879646881619376,0.3226732267322673,540869,3463,3145,1574
3306107,50,-0.0001240628821579,0.0,0.0,0.0,0.9997448165869218,0.4998724082934609,0.9997448165869218,0.0,47013,5,7,0
