,location,RF_min_split,half,kappa,precision,sensitivity,IoU Class 1,IoU Class 0,mIoU,accuracy,f1score,tn,fp,fn,tp
0,3300209,100,1,0.08395050438119095,0.081799591002045,0.22815423226100845,0.06406970784213224,0.909300881659009,0.48668529475057065,0.9098605454769838,0.12042389210019268,146452,11225,3383,1000
0,3302403,1000,0,-0.11896871044167202,0.17634408602150536,0.6157183380610712,0.15885999655588084,0.14419623302671922,0.15152811479130002,0.26327300150829563,0.2741659855858533,3292,17235,2303,3690
0,3302403,10,1,0.09583199339628741,0.1932075471698113,0.18246614397719174,0.10355987055016182,0.8316109422492401,0.467585406399701,0.8348240906380441,0.187683284457478,21888,2138,2294,512
0,3306305,10,0,0.10553642153250173,0.14618044640050298,0.1669059583632448,0.08451472191930207,0.9037546574949842,0.49413468970714314,0.9046022727272728,0.1558572146807441,47298,2716,2321,465
0,3306305,10,1,0.08686780324104704,0.1334971334971335,0.15779283639883834,0.0779531324725012,0.8900087475754003,0.48398094002395076,0.8910221384832784,0.14463176574977818,46802,3174,2610,489
0,3509502,50,0,0.20838901145456604,0.1920609947960789,0.40045420136260407,0.14916815490177648,0.8885230827333109,0.5188456188175437,0.8906600419547195,0.25961066579420905,216446,20028,7128,4761
0,3509502,50,1,0.09182863093563802,0.06830504738814194,0.646163469557965,0.06584230989865511,0.8207319459847349,0.443287127941695,0.8229687997004385,0.12354981461547662,201296,42271,1697,3099
0,3515004,500,0,0.017521034642974425,0.022805296714075527,0.24866310160427807,0.021335168616655197,0.845753335502766,0.4335442520597106,0.8462702702702702,0.04177897574123989,23391,3985,281,93
0,3515004,500,1,0.04685851805990194,0.0882668254913639,0.8169790518191842,0.08655530895923373,0.4045987513324197,0.2455770301458267,0.4363963963963964,0.1593205762201677,10628,15308,332,1482
0,3516309,50,0,0.006726793303108926,0.029996629592180656,0.26646706586826346,0.027708592777085927,0.751095879493106,0.38940223613509595,0.7528490028490028,0.05392305362011512,9424,2878,245,89
0,3516309,50,1,0.01752867414234515,0.03429796355841372,0.10921501706484642,0.02680067001675042,0.9078070453824183,0.4673038576995844,0.9080405191516303,0.052202283849918436,11442,901,261,32
0,3516408,10,0,0.024389402173647,0.03273322422258593,0.1092896174863388,0.025839793281653745,0.9285511229034398,0.47719545809254676,0.9286862763643242,0.05037783375314862,9799,591,163,20
0,3516408,50,1,0.07281686914335586,0.1593186372745491,0.15947843530591777,0.08660130718954248,0.840634799961988,0.46361805357576524,0.8430069275416588,0.1593984962406015,8846,839,838,159
0,3547809,500,0,0.21501513104375583,0.19643733782172662,0.6542863816865219,0.17796556325052418,0.7710777288249553,0.4745216460377397,0.7818874540611619,0.30215749730312835,43579,11458,1480,2801
0,3547809,50,1,0.20133935304970216,0.2284435949784979,0.7300111049416991,0.21064647921172794,0.6384368406568205,0.42454165993427423,0.6702529951141155,0.34799007444168734,34798,17762,1945,5259
0,3548708,10,0,0.11468229983227951,0.11384093256603217,0.3899418751579479,0.09663076152304609,0.8333660632804648,0.46499841240175543,0.8362841902167745,0.17623208269088003,72142,12011,2414,1543
0,3548708,50,1,0.22468357582734771,0.2614189539098912,0.34523321023115855,0.17476803766791302,0.8614685404098522,0.5181182890388826,0.8654169725029642,0.29753624896852526,74113,7131,4787,2524
0,3550308,500,0,0.07891458800650777,0.07027617500420144,0.7062903060702221,0.06828072310916157,0.7126859892840877,0.3904833561966246,0.7186108371439672,0.1278329218755066,934161,365123,11477,27599
0,3550308,50,1,0.11954800791260725,0.10397541429093748,0.45339768173395956,0.09239388138599604,0.8432843571679288,0.4678391192769624,0.8457452722552665,0.16915854795665733,1112357,181350,25370,21044
0,3552502,50,0,0.03472528036755301,0.05388748419721871,0.21473551637279598,0.04501650165016502,0.8470968696497643,0.44605668564996465,0.8481910517921598,0.08615462354724608,40077,5987,1247,341
0,3552502,50,1,0.034214675560946026,0.055156831472620946,0.24585308056872038,0.04717517335455269,0.8225543535787624,0.43486476346665753,0.8240997229916898,0.0900998697351281,38855,7109,1273,415
0,5103403,1000,0,0.03277094613549151,0.10334647409266887,0.7556876938986556,0.10000513197735088,0.36208987074714455,0.23104750136224772,0.4043138586956522,0.18182666438579848,29863,50721,1890,5846
0,5103403,1000,1,0.14195199435082909,0.19810222582807155,0.537467700258398,0.1692483876800675,0.6686141565685709,0.41893127212431924,0.689572072072072,0.28949945873498634,55618,22733,4833,5616
0,5300108,50,0,0.04016975057291236,0.03201718810949371,0.2871820504276352,0.029660093379679023,0.9048435189409045,0.46725180616029177,0.9051194902943931,0.057611426470506315,1608648,156336,12835,5171
0,5300108,10,1,0.010612414337815608,0.04002488593944421,0.009201868980642701,0.007538179119634418,0.9857471153474008,0.4966426472335176,0.985748658152878,0.01496356024189797,1757387,4629,20781,193
