location,xsize,ysize,pixels_slum,proportion_slums,NM_MUNICIP,CD_UF,SG_UF,Name_UF,startDate,entityId,displayId,cloudCover,spatialBounds,spatialCoverage,RME_DS,RME_CD,RME_NM,metropolitan,left_half_slums,left_half_slum_discounting_border,right_half_slums,right_half_slum_discounting_border,proportion_slums_left,proportion_slums_right
1302405,112,98,1898,0.1729227405247813,LÁBREA,13,AM,Amazonas,2010-09-27 00:00:00,LT52330652010270CUB00,LT05_L2SP_233065_20100927_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-65.60639, -8.14641], [-65.60639, -6.31417], [-63.60654, -6.31417], [-63.60654, -8.14641], [-65.60639, -8.14641]]]}","{'type': 'Polygon', 'coordinates': [[[-65.60639, -7.90493], [-63.94577, -8.14641], [-63.60654, -6.55484], [-65.26151, -6.31417], [-65.60639, -7.90493]]]}",,,,0.0,675,0,1223,0,0.12299562682215744,0.22284985422740525
1303403,105,107,1375,0.1223854027592345,PARINTINS,13,AM,Amazonas,2010-08-14 00:00:00,LT52290622010226CUB01,LT05_L2SP_229062_20100814_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-58.46063, -3.81751], [-58.46063, -1.98643], [-56.47463, -1.98643], [-56.47463, -3.81751], [-58.46063, -3.81751]]]}","{'type': 'Polygon', 'coordinates': [[[-58.46063, -3.57783], [-56.81249, -3.81751], [-56.47463, -2.22579], [-58.12053, -1.98643], [-58.46063, -3.57783]]]}",,,,0.0,502,0,873,0,0.09020664869721473,0.15396825396825398
1702109,413,434,27074,0.1510471876011202,ARAGUAÍNA,17,TO,Tocantins,2010-09-14 00:00:00,LT52220652010257CUB00,LT05_L2SP_222065_20100914_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-48.6022, -8.14216], [-48.6022, -6.30992], [-46.60237, -6.30992], [-46.60237, -8.14216], [-48.6022, -8.14216]]]}","{'type': 'Polygon', 'coordinates': [[[-48.6022, -7.90068], [-46.9416, -8.14216], [-46.60237, -6.55059], [-48.25733, -6.30992], [-48.6022, -7.90068]]]}",,,,0.0,8202,6363,18872,13922,0.09151872886934982,0.21057564633289072
3101508,109,172,2553,0.1361745252826968,ALÉM PARAÍBA,31,MG,Minas Gerais,2010-08-26 00:00:00,LT52170752010238CUB00,LT05_L2SP_217075_20100826_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-44.14845, -22.58338], [-44.14845, -20.73922], [-42.00792, -20.73922], [-42.00792, -22.58338], [-44.14845, -22.58338]]]}","{'type': 'Polygon', 'coordinates': [[[-44.14845, -22.3252], [-42.37276, -22.58338], [-42.00792, -20.99468], [-43.76486, -20.73922], [-44.14845, -22.3252]]]}",,,,0.0,578,0,1975,667,0.06165991039044165,0.210689140174952
3106705,444,644,4438,0.015520955738347,BETIM,31,MG,Minas Gerais,2010-09-18 00:00:00,LT52180742010261CUB00,LT05_L2SP_218074_20100918_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-45.36855, -21.14803], [-45.36855, -19.30568], [-43.24936, -19.30568], [-43.24936, -21.14803], [-45.36855, -21.14803]]]}","{'type': 'Polygon', 'coordinates': [[[-45.36855, -20.89233], [-43.60997, -21.14803], [-43.24936, -19.55887], [-44.9907, -19.30568], [-45.36855, -20.89233]]]}",Betim,8.0,Belo Horizonte,1.0,644,27,3794,2890,0.0045045045045045045,0.026537406972189582
3107802,921,561,511,0.0009890048211565,BOM JESUS DO GALHO,31,MG,Minas Gerais,2010-08-26 00:00:00,LT52170742010238CUB00,LT05_L2SP_217074_20100826_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-43.80201, -21.14653], [-43.80201, -19.30418], [-41.68284, -19.30418], [-41.68284, -21.14653], [-43.80201, -21.14653]]]}","{'type': 'Polygon', 'coordinates': [[[-43.80201, -20.89083], [-42.04345, -21.14653], [-41.68284, -19.55736], [-43.42417, -19.30418], [-43.80201, -20.89083]]]}",,,,0.0,452,0,59,0,0.0017527532185512642,0.00022797438958891195
3111200,71,29,20,0.0097134531325886,CAMPO BELO,31,MG,Minas Gerais,2010-09-02 00:00:00,LT52180752010245CUB00,LT05_L2SP_218075_20100902_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-45.70264, -22.58821], [-45.70264, -20.74405], [-43.56204, -20.74405], [-43.56204, -22.58821], [-45.70264, -22.58821]]]}","{'type': 'Polygon', 'coordinates': [[[-45.70264, -22.33002], [-43.92689, -22.58821], [-43.56204, -20.99951], [-45.31903, -20.74405], [-45.70264, -22.33002]]]}",,,,0.0,0,0,20,0,0.0,0.018779342723004695
3113404,114,110,2659,0.2120414673046252,CARATINGA,31,MG,Minas Gerais,2010-08-26 00:00:00,LT52170742010238CUB00,LT05_L2SP_217074_20100826_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-43.80201, -21.14653], [-43.80201, -19.30418], [-41.68284, -19.30418], [-41.68284, -21.14653], [-43.80201, -21.14653]]]}","{'type': 'Polygon', 'coordinates': [[[-43.80201, -20.89083], [-42.04345, -21.14653], [-41.68284, -19.55736], [-43.42417, -19.30418], [-43.80201, -20.89083]]]}",,,,0.0,2331,0,328,0,0.37177033492822964,0.052312599681020734
3119401,262,252,7618,0.1153822852296134,CORONEL FABRICIANO,31,MG,Minas Gerais,2010-08-26 00:00:00,LT52170742010238CUB00,LT05_L2SP_217074_20100826_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-43.80201, -21.14653], [-43.80201, -19.30418], [-41.68284, -19.30418], [-41.68284, -21.14653], [-43.80201, -21.14653]]]}","{'type': 'Polygon', 'coordinates': [[[-43.80201, -20.89083], [-42.04345, -21.14653], [-41.68284, -19.55736], [-43.42417, -19.30418], [-43.80201, -20.89083]]]}",Coronel Fabriciano,39.0,Vale do Aço,1.0,3133,405,4485,1938,0.09490488307282201,0.13585968738640494
3124104,280,593,1037,0.0062454830161406,ESMERALDAS,31,MG,Minas Gerais,2010-09-18 00:00:00,LT52180742010261CUB00,LT05_L2SP_218074_20100918_20200823_02_T1,0,"{'type': 'Polygon', 'coordinates': [[[-45.36855, -21.14803], [-45.36855, -19.30568], [-43.24936, -19.30568], [-43.24936, -21.14803], [-45.36855, -21.14803]]]}","{'type': 'Polygon', 'coordinates': [[[-45.36855, -20.89233], [-43.60997, -21.14803], [-43.24936, -19.55887], [-44.9907, -19.30568], [-45.36855, -20.89233]]]}",Esmeraldas,8.0,Belo Horizonte,1.0,204,0,833,0,0.0024613899613899616,0.010016835016835016
